 1  0.00  2
 1  2.48  2
 2  3.09  2
 1  0.69  1
 1  1.61  2
 2  2.89  2
 2  0.00  2
 2  3.47  2
 1  1.10  2
 1  1.39  2
 2  2.83  2
 2  3.18  1
 1  2.30  1
 1  1.61  2
 2  0.69  2
 2  1.95  2
 2  0.00  2
 2  1.95  2
 2  2.20  3
 1  2.30  2
 2  3.61  1
 1  2.08  2
 1  0.00  2
 2  2.77  2
 2  2.77  2
 1  2.08  2
 1  1.95  2
 1  2.40  3
 2  3.00  1
 1  2.40  2
 1  0.69  3
 1  1.39  2
 1  0.69  1
 1  2.89  2
 2  2.08  1
 2  2.30  2
 1  2.83  2
 1  1.79  3
 2  1.10  2
 2  2.71  2
 1  0.69  2
 2  2.64  2
 2  3.04  2
 2  2.71  2
 2  2.89  2
 1  0.00  3
 1  1.79  1
 1  1.39  2
 2  3.09  2
 2  1.10  2
 2  2.71  2
 2  1.95  2
 1  1.95  2
 1  2.08  2
 1  2.30  2
 2  0.69  3
 1  1.10  2
 2  2.89  2
 2  2.71  1
 1  1.61  2
 1  1.61  2
 1  3.33  2
 2  2.08  2
 1  1.39  2
 2  3.04  1
 2  2.30  2
 2  2.89  1
 2  0.00  1
 1  1.95  2
 2  2.48  2
 2  0.00  2
 2  1.39  2
 1  0.00  2
 1  0.00  1
 1  1.61  2
 1  2.20  3
 1  1.39  1
 1  1.95  2
 1  1.79  2
 1  1.79  2
 2  1.79  2
 1  0.69  2
