 1  0.69  2
 1  3.26  2
 2  2.56  2
 2  1.61  3
 1  0.00  2
 1  2.30  2
 2  2.30  1
 2  2.64  2
 1  1.61  1
 2  1.39  2
 1  0.00  2
 2  1.39  3
 1  2.71  3
 2  0.00  3
 2  2.20  2
 1  1.95  2
 2  0.00  2
 2  1.61  2
 2  3.14  2
 2  1.79  2
 2  2.08  2
 1  0.00  2
 1  0.00  3
 2  3.04  3
 2  2.89  1
 1  1.61  2
 1  0.69  2
 1  0.69  2
 2  2.94  3
 2  3.04  2
 1  2.08  2
 1  1.39  2
 2  1.39  2
 2  1.10  2
 2  0.00  2
 1  1.10  2
 2  0.69  2
 1  0.00  2
 1  0.69  2
 2  2.48  2
 1  0.00  2
 1  0.00  2
 2  3.85  2
 2  0.69  3
 2  1.95  2
 2  0.00  2
 2  2.94  1
 2  2.20  1
 1  2.56  1
 2  2.40  1
 1  1.61  1
 1  0.00  2
 2  2.56  3
 1  0.00  3
 2  1.61  3
 2  2.56  2
 1  1.10  2
 2  2.20  2
 1  2.08  2
 1  1.95  1
 2  1.79  3
 1  0.00  3
 1  1.61  1
 1  1.79  2
 1  1.39  3
 2  3.40  2
 2  0.69  2
 2  2.20  2
 1  0.00  2
 2  3.58  2
 2  2.64  2
 1  1.95  3
 2  2.30  2
 1  2.40  2
 1  0.00  1
 1  1.61  2
 1  0.69  2
 2  3.89  2
 1  1.10  2
 1  1.79  2
 2  1.10  2
 2  2.77  1
 2  1.95  1
 1  0.69  1
 1  1.39  2
 1  2.20  2
 2  2.94  2
 2  1.10  3
 2  1.79  2
 2  3.81  1
